station_no,date,delta
6335060,1966-06-17,17.0
6335060,1966-09-29,-5.0
6335060,1966-09-30,-4.0
6335060,1966-10-01,-5.0
6335060,1967-01-13,-15.0
6335060,1967-01-14,-16.0
6335060,1967-01-15,2.0
6335060,1967-04-29,-11.0
6335060,1967-04-30,-21.0
6335060,1967-05-01,-30.0
6335060,1967-08-13,7.0
6335060,1967-08-14,27.0
6335060,1967-08-15,29.0
6335060,1967-11-27,-5.0
6335060,1967-11-28,7.0
6335060,1967-11-29,38.0
6335060,1968-03-12,-2.0
6335060,1968-03-13,-7.0
6335060,1968-03-14,-8.0
6335060,1968-06-26,-9.0
6335060,1968-06-27,-21.0
6335060,1968-06-28,-27.0
6335060,1968-10-10,-20.0
6335060,1968-10-11,-27.0
6335060,1968-10-12,-36.0
6335060,1969-01-24,-10.0
6335060,1969-01-25,-19.0
6335060,1969-01-26,-16.0
6335060,1969-05-10,25.0
6335060,1969-05-11,29.0
6335060,1969-05-12,6.0
6335060,1969-08-24,-4.0
6335060,1969-08-25,22.0
6335060,1969-08-26,28.0
6335060,1969-12-08,-2.0
6335060,1969-12-09,-18.0
6335060,1969-12-10,-33.0
6335060,1970-03-24,-19.0
6335060,1970-03-25,-24.0
6335060,1970-03-26,7.0
6335060,1970-07-08,-16.0
6335060,1970-07-09,-13.0
6335060,1970-07-10,-17.0
6335060,1970-10-22,7.0
6335060,1970-10-23,27.0
6335060,1970-10-24,34.0
6335060,1971-02-05,-16.0
6335060,1971-02-06,-28.0
6335060,1971-02-07,-35.0
6335060,1971-05-22,2.0
6335060,1971-05-23,21.0
6335060,1971-05-24,31.0
6335060,1971-09-05,-5.0
6335060,1971-09-06,-14.0
6335060,1971-09-07,-20.0
6335060,1971-12-20,-4.0
6335060,1971-12-21,1.0
6335060,1971-12-22,12.0
6335060,1972-04-04,24.0
6335060,1972-04-05,61.0
6335060,1972-04-06,81.0
6335060,1972-07-19,-13.0
6335060,1972-07-20,-13.0
6335060,1972-07-21,-16.0
6335060,1972-11-02,3.0
6335060,1972-11-03,-8.0
6335060,1972-11-04,-17.0
6335060,1973-02-16,-12.0
6335060,1973-02-17,-51.0
6335060,1973-02-18,-87.0
6335060,1973-06-02,6.0
6335060,1973-06-03,4.0
6335060,1973-06-04,6.0
6335060,1973-09-16,-2.0
6335060,1973-09-17,-2.0
6335060,1973-09-18,-5.0
6335060,1973-12-31,-8.0
6335060,1974-01-01,-22.0
6335060,1974-01-02,-36.0
6335060,1974-04-16,-8.0
6335060,1974-04-17,-13.0
6335060,1974-04-18,-17.0
6335060,1974-07-31,-20.0
6335060,1974-08-01,-30.0
6335060,1974-08-02,-39.0
6335060,1974-11-14,2.0
6335060,1974-11-15,4.0
6335060,1974-11-16,2.0
6335060,1975-02-28,-11.0
6335060,1975-03-01,-16.0
6335060,1975-03-02,-19.0
6335060,1975-06-14,-6.0
6335060,1975-06-15,-9.0
6335060,1975-06-16,-10.0
6335060,1975-09-28,3.0
6335060,1975-09-29,-11.0
6335060,1975-09-30,-17.0
6335060,1976-01-12,4.0
6335060,1976-01-13,25.0
6335060,1976-01-14,58.0
6335060,1976-04-27,17.0
6335060,1976-04-28,35.0
6335060,1976-04-29,44.0
6335060,1976-08-11,-9.0
6335060,1976-08-12,-14.0
6335060,1976-08-13,-12.0
6335060,1976-11-25,3.0
6335060,1976-11-26,9.0
6335060,1976-11-27,16.0
6335060,1977-03-11,-14.0
6335060,1977-03-12,-22.0
6335060,1977-03-13,-29.0
6335060,1977-06-25,-4.0
6335060,1977-06-26,-17.0
6335060,1977-06-27,-22.0
6335060,1977-10-09,-15.0
6335060,1977-10-10,-22.0
6335060,1977-10-11,-26.0
6335060,1978-01-23,-8.0
6335060,1978-01-24,-14.0
6335060,1978-01-25,-6.0
6335060,1978-05-09,17.0
6335060,1978-05-10,20.0
6335060,1978-05-11,24.0
6335060,1978-08-23,-14.0
6335060,1978-08-24,-26.0
6335060,1978-08-25,-35.0
6335060,1978-12-07,-3.0
6335060,1978-12-08,-6.0
6335060,1978-12-09,-2.0
6335060,1979-03-23,-20.0
6335060,1979-03-24,-42.0
6335060,1979-03-25,-68.0
6335060,1979-07-07,-7.0
6335060,1979-07-08,-12.0
6335060,1979-07-09,-18.0
6335060,1979-10-21,0.0
6335060,1979-10-22,-3.0
6335060,1979-10-23,-11.0
6335060,1980-02-04,56.0
6335060,1980-02-05,117.0
6335060,1980-02-06,191.0
6335060,1980-05-20,-8.0
6335060,1980-05-21,-12.0
6335060,1980-05-22,-18.0
6335060,1980-09-03,-11.0
6335060,1980-09-04,-12.0
6335060,1980-09-05,-17.0
6335060,1980-12-18,2.0
6335060,1980-12-19,-43.0
6335060,1980-12-20,-93.0
6335060,1981-04-03,-13.0
6335060,1981-04-04,-23.0
6335060,1981-04-05,-31.0
6335060,1981-07-18,-3.0
6335060,1981-07-19,-4.0
6335060,1981-07-20,-5.0
6335060,1981-11-01,18.0
6335060,1981-11-02,57.0
6335060,1981-11-03,89.0
6335060,1982-02-15,-10.0
6335060,1982-02-16,-12.0
6335060,1982-02-17,-17.0
6335060,1982-06-01,-4.0
6335060,1982-06-02,-9.0
6335060,1982-06-03,-7.0
6335060,1982-09-15,-6.0
6335060,1982-09-16,-6.0
6335060,1982-09-17,-13.0
6335060,1982-12-30,-20.0
6335060,1982-12-31,-41.0
6335060,1983-01-01,-67.0
6335060,1983-04-15,-71.0
6335060,1983-04-16,-163.0
6335060,1983-04-17,-224.0
6335060,1983-07-30,-9.0
6335060,1983-07-31,-12.0
6335060,1983-08-01,-13.0
6335060,1983-11-13,0.0
6335060,1983-11-14,0.0
6335060,1983-11-15,1.0
6335060,1984-02-27,-8.0
6335060,1984-02-28,-11.0
6335060,1984-02-29,-9.0
6335060,1984-06-12,-32.0
6335060,1984-06-13,-70.0
6335060,1984-06-14,-102.0
6335060,1984-09-26,43.0
6335060,1984-09-27,75.0
6335060,1984-09-28,79.0
6335060,1985-01-10,-4.0
6335060,1985-01-11,-2.0
6335060,1985-01-12,1.0
6335060,1985-04-26,-10.0
6335060,1985-04-27,-15.0
6335060,1985-04-28,-16.0
6335060,1985-08-10,24.0
6335060,1985-08-11,31.0
6335060,1985-08-12,33.0
6335060,1985-11-24,-9.0
6335060,1985-11-25,-15.0
6335060,1985-11-26,-14.0
6335060,1986-03-10,-6.0
6335060,1986-03-11,-38.0
6335060,1986-03-12,-69.0
6335060,1986-06-24,-6.0
6335060,1986-06-25,-9.0
6335060,1986-06-26,-17.0
6335060,1986-10-08,-3.0
6335060,1986-10-09,-7.0
6335060,1986-10-10,-8.0
6335060,1987-01-22,-6.0
6335060,1987-01-23,-13.0
6335060,1987-01-24,-17.0
6335060,1987-05-08,28.0
6335060,1987-05-09,22.0
6335060,1987-05-10,7.0
6335060,1987-08-22,-18.0
6335060,1987-08-23,-34.0
6335060,1987-08-24,-41.0
6335060,1987-12-06,-10.0
6335060,1987-12-07,-17.0
6335060,1987-12-08,-15.0
6335060,1988-03-21,-49.0
6335060,1988-03-22,-76.0
6335060,1988-03-23,-105.0
6335060,1988-07-05,-8.0
6335060,1988-07-06,-8.0
6335060,1988-07-07,0.0
6335060,1988-10-19,-24.0
6335060,1988-10-20,-37.0
6335060,1988-10-21,-32.0
6335060,1989-02-02,1.0
6335060,1989-02-03,1.0
6335060,1989-02-04,-4.0
6335060,1989-05-19,-8.0
6335060,1989-05-20,-17.0
6335060,1989-05-21,-28.0
6335060,1989-09-02,-5.0
6335060,1989-09-03,-16.0
6335060,1989-09-04,-23.0
6335060,1989-12-17,118.0
6335060,1989-12-18,224.0
6335060,1989-12-19,249.0
6335060,1990-04-02,-9.0
6335060,1990-04-03,-14.0
6335060,1990-04-04,-9.0
6335060,1990-07-17,-15.0
6335060,1990-07-18,-29.0
6335060,1990-07-19,-38.0
6335060,1990-10-31,32.0
6335060,1990-11-01,58.0
6335060,1990-11-02,82.0
6335060,1991-02-14,-5.0
6335060,1991-02-15,-8.0
6335060,1991-02-16,-11.0
6335060,1991-05-31,-4.0
6335060,1991-06-01,-6.0
6335060,1991-06-02,-11.0
6335060,1991-09-14,10.0
6335060,1991-09-15,16.0
6335060,1991-09-16,20.0
6335060,1991-12-29,-58.0
6335060,1991-12-30,-106.0
6335060,1991-12-31,-138.0
6335060,1992-04-13,-16.0
6335060,1992-04-14,-33.0
6335060,1992-04-15,-44.0
6335060,1992-07-28,-16.0
6335060,1992-07-29,-27.0
6335060,1992-07-30,-36.0
6335060,1992-11-11,-4.0
6335060,1992-11-12,18.0
6335060,1992-11-13,84.0
6335060,1993-02-25,-15.0
6335060,1993-02-26,-26.0
6335060,1993-02-27,-36.0
6335060,1993-06-11,-7.0
6335060,1993-06-12,-11.0
6335060,1993-06-13,-11.0
6335060,1993-09-25,5.0
6335060,1993-09-26,30.0
6335060,1993-09-27,29.0
6335060,1994-01-09,-22.0
6335060,1994-01-10,-73.0
6335060,1994-01-11,-161.0
6335060,1994-04-25,-13.0
6335060,1994-04-26,-28.0
6335060,1994-04-27,-29.0
6335060,1994-08-09,2.0
6335060,1994-08-10,4.0
6335060,1994-08-11,5.0
6335060,1994-11-23,-2.0
6335060,1994-11-24,-4.0
6335060,1994-11-25,-18.0
6335060,1995-03-09,-14.0
6335060,1995-03-10,-31.0
6335060,1995-03-11,-51.0
6335060,1995-06-23,-14.0
6335060,1995-06-24,-15.0
6335060,1995-06-25,-10.0
6335060,1995-10-07,-15.0
6335060,1995-10-08,-34.0
6335060,1995-10-09,-48.0
6335060,1996-01-21,-8.0
6335060,1996-01-22,-15.0
6335060,1996-01-23,-24.0
6335060,1996-05-06,1.0
6335060,1996-05-07,-4.0
6335060,1996-05-08,-9.0
6335060,1996-08-20,-12.0
6335060,1996-08-21,-22.0
6335060,1996-08-22,-14.0
6335060,1996-12-04,31.0
6335060,1996-12-05,40.0
6335060,1996-12-06,17.0
6335060,1997-03-20,5.0
6335060,1997-03-21,15.0
6335060,1997-03-22,23.0
6335060,1997-07-04,-7.0
6335060,1997-07-05,-16.0
6335060,1997-07-06,-19.0
6335060,1997-10-18,-5.0
6335060,1997-10-19,-8.0
6335060,1997-10-20,-14.0
6335060,1998-02-01,-11.0
6335060,1998-02-02,-22.0
6335060,1998-02-03,-34.0
6335060,1998-05-18,-2.0
6335060,1998-05-19,-3.0
6335060,1998-05-20,-8.0
6335060,1998-09-01,-10.0
6335060,1998-09-02,-15.0
6335060,1998-09-03,-13.0
6335060,1998-12-16,13.0
6335060,1998-12-17,-17.0
6335060,1998-12-18,-64.0
6335060,1999-04-01,-46.0
6335060,1999-04-02,-75.0
6335060,1999-04-03,-93.0
6335060,1999-07-16,22.0
6335060,1999-07-17,44.0
6335060,1999-07-18,33.0
6335060,1999-10-30,-11.0
6335060,1999-10-31,-14.0
6335060,1999-11-01,-13.0
6335060,2000-02-13,-7.0
6335060,2000-02-14,-14.0
6335060,2000-02-15,-23.0
6335060,2000-05-29,-5.0
6335060,2000-05-30,-4.0
6335060,2000-05-31,-5.0
6335060,2000-09-12,-19.0
6335060,2000-09-13,-33.0
6335060,2000-09-14,-35.0
6335060,2000-12-27,10.0
6335060,2000-12-28,45.0
6335060,2000-12-29,71.0
6335060,2001-04-12,32.0
6335060,2001-04-13,47.0
6335060,2001-04-14,51.0
6335060,2001-07-27,-7.0
6335060,2001-07-28,-21.0
6335060,2001-07-29,-34.0
6335060,2001-11-10,140.0
6335060,2001-11-11,180.0
6335060,2001-11-12,133.0
6335060,2002-02-24,-21.0
6335060,2002-02-25,-43.0
6335060,2002-02-26,-6.0
6335060,2002-06-10,41.0
6335060,2002-06-11,55.0
6335060,2002-06-12,49.0
6335060,2002-09-24,16.0
6335060,2002-09-25,36.0
6335060,2002-09-26,91.0
6335060,2003-01-08,-54.0
6335060,2003-01-09,-134.0
6335060,2003-01-10,-230.0
6335060,2003-04-24,5.0
6335060,2003-04-25,6.0
6335060,2003-04-26,6.0
6335060,2003-08-08,-7.0
