station_no,date,hist_level
6335060,1979-07-06,213.0
6335060,1979-10-20,130.0
6335060,1980-02-03,646.0
6335060,1980-05-19,320.0
6335060,1980-09-02,316.0
6335060,1980-12-17,605.0
6335060,1981-04-02,495.0
6335060,1981-07-17,298.0
6335060,1981-10-31,502.0
6335060,1982-02-14,443.0
6335060,1982-05-31,350.0
6335060,1982-09-14,273.0
6335060,1982-12-29,520.0
6335060,1983-04-14,971.0
6335060,1983-07-29,258.0
6335060,1983-11-12,137.0
6335060,1984-02-26,303.0
6335060,1984-06-11,508.0
6335060,1984-09-25,417.0
6335060,1985-01-09,195.0
6335060,1985-04-25,326.0
6335060,1985-08-09,249.0
6335060,1985-11-23,158.0
6335060,1986-03-09,374.0
6335060,1986-06-23,447.0
6335060,1986-10-07,171.0
6335060,1987-01-21,289.0
6335060,1987-05-07,433.0
6335060,1987-08-21,382.0
6335060,1987-12-05,279.0
6335060,1988-03-20,873.0
6335060,1988-07-04,336.0
6335060,1988-10-18,354.0
6335060,1989-02-01,212.0
6335060,1989-05-18,313.0
6335060,1989-09-01,256.0
6335060,1989-12-16,249.0
6335060,1990-04-01,277.0
6335060,1990-07-16,336.0
6335060,1990-10-30,222.0
6335060,1991-02-13,203.0
6335060,1991-05-30,218.0
6335060,1991-09-13,112.0
6335060,1991-12-28,530.0
6335060,1992-04-12,347.0
6335060,1992-07-27,269.0
6335060,1992-11-10,284.0
6335060,1993-02-24,259.0
6335060,1993-06-10,225.0
6335060,1993-09-24,265.0
6335060,1994-01-08,871.0
6335060,1994-04-24,421.0
6335060,1994-08-08,219.0
6335060,1994-11-22,287.0
6335060,1995-03-08,491.0
6335060,1995-06-22,443.0
6335060,1995-10-06,331.0
6335060,1996-01-20,250.0
6335060,1996-05-05,224.0
6335060,1996-08-19,257.0
6335060,1996-12-03,514.0
6335060,1997-03-19,285.0
6335060,1997-07-03,397.0
6335060,1997-10-17,243.0
6335060,1998-01-31,267.0
6335060,1998-05-17,235.0
6335060,1998-08-31,192.0
6335060,1998-12-15,584.0
6335060,1999-03-31,496.0
6335060,1999-07-15,407.0
6335060,1999-10-29,271.0
6335060,2000-02-12,545.0
6335060,2000-05-28,311.0
6335060,2000-09-11,282.0
6335060,2000-12-26,293.0
6335060,2001-04-11,523.0
6335060,2001-07-26,359.0
6335060,2001-11-09,303.0
6335060,2002-02-23,732.0
6335060,2002-06-09,347.0
6335060,2002-09-23,227.0
6335060,2003-01-07,888.0
6335060,2003-04-23,207.0
6335060,2003-08-07,155.0
6335060,2003-11-21,179.0
6335060,2004-03-06,210.0
6335060,2004-06-20,304.0
6335060,2004-10-04,208.0
6335060,2005-01-18,242.0
6335060,2005-05-04,351.0
6335060,2005-08-18,231.0
6335060,2005-12-02,129.0
6335060,2006-03-18,395.0
6335060,2006-07-02,293.0
6335060,2006-10-16,268.0
6335060,2007-01-30,332.0
6335060,2007-05-16,241.0
6335060,2007-08-30,297.0
6335060,2007-12-14,636.0
6335060,2008-03-29,459.0
6335060,2008-07-13,260.0
6335060,2008-10-27,225.0
6335060,2009-02-10,270.0
6335060,2009-05-27,284.0
6335060,2009-09-10,186.0
6335060,2009-12-25,373.0
6335060,2010-04-10,304.0
6335060,2010-07-25,244.0
6335060,2010-11-08,213.0
6335060,2011-02-22,270.0
6335060,2011-06-08,196.0
6335060,2011-09-22,214.0
6335060,2012-01-06,687.0
6335060,2012-04-21,272.0
6335060,2012-08-05,206.0
6335060,2012-11-19,325.0
