station_no,date,delta,hist_level
6335050,1966-10-08,-26.0,251.0
6335050,1966-10-09,-27.0,251.0
6335050,1966-10-10,-31.0,251.0
6335050,1966-10-11,-34.0,251.0
6335050,1966-10-12,-36.0,251.0
6335050,1966-10-13,-37.0,251.0
6335050,1966-10-14,-39.0,251.0
6335050,1967-01-12,0.0,439.0
6335050,1967-01-13,-16.0,439.0
6335050,1967-01-14,-21.0,439.0
6335050,1967-01-15,-10.0,439.0
6335050,1967-01-16,11.0,439.0
6335050,1967-01-17,20.0,439.0
6335050,1967-01-18,13.0,439.0
6335050,1967-01-19,-1.0,439.0
6335050,1967-01-20,-21.0,439.0
6335050,1967-01-21,-42.0,439.0
6335050,1967-01-22,-54.0,439.0
6335050,1967-01-23,-62.0,439.0
6335050,1967-01-24,-64.0,439.0
6335050,1967-01-25,-57.0,439.0
6335050,1967-01-26,-48.0,439.0
6335050,1967-01-27,-38.0,439.0
6335050,1967-01-28,1.0,439.0
6335050,1967-04-28,0.0,360.0
6335050,1967-04-29,-9.0,360.0
6335050,1967-04-30,-21.0,360.0
6335050,1967-05-01,-34.0,360.0
6335050,1967-05-02,-40.0,360.0
6335050,1967-05-03,-43.0,360.0
6335050,1967-05-04,-49.0,360.0
6335050,1967-05-05,-46.0,360.0
6335050,1967-05-06,-38.0,360.0
6335050,1967-05-07,-38.0,360.0
6335050,1967-05-08,-41.0,360.0
6335050,1967-05-09,-45.0,360.0
6335050,1967-05-10,-50.0,360.0
6335050,1967-05-11,-58.0,360.0
6335050,1967-05-12,-60.0,360.0
6335050,1967-05-13,-62.0,360.0
6335050,1967-05-14,-63.0,360.0
6335050,1967-08-12,0.0,295.0
6335050,1967-08-13,3.0,295.0
6335050,1967-08-14,11.0,295.0
6335050,1967-08-15,27.0,295.0
6335050,1967-08-16,19.0,295.0
6335050,1967-08-17,23.0,295.0
6335050,1967-08-18,17.0,295.0
6335050,1967-08-19,15.0,295.0
6335050,1967-08-20,15.0,295.0
6335050,1967-08-21,12.0,295.0
6335050,1967-08-22,7.0,295.0
6335050,1967-08-23,-4.0,295.0
6335050,1967-08-24,-18.0,295.0
6335050,1967-08-25,-8.0,295.0
6335050,1967-08-26,3.0,295.0
6335050,1967-08-27,-3.0,295.0
6335050,1967-08-28,-8.0,295.0
6335050,1967-11-26,0.0,257.0
6335050,1967-11-27,-5.0,257.0
6335050,1967-11-28,-3.0,257.0
6335050,1967-11-29,27.0,257.0
6335050,1967-11-30,75.0,257.0
6335050,1967-12-01,111.0,257.0
6335050,1967-12-02,108.0,257.0
6335050,1967-12-03,88.0,257.0
6335050,1967-12-04,61.0,257.0
6335050,1967-12-05,40.0,257.0
6335050,1967-12-06,40.0,257.0
6335050,1967-12-07,63.0,257.0
6335050,1967-12-08,89.0,257.0
6335050,1967-12-09,109.0,257.0
6335050,1967-12-10,108.0,257.0
6335050,1967-12-11,72.0,257.0
6335050,1967-12-12,49.0,257.0
6335050,1968-03-11,0.0,389.0
6335050,1968-03-12,-6.0,389.0
6335050,1968-03-13,-11.0,389.0
6335050,1968-03-14,-13.0,389.0
6335050,1968-03-15,-17.0,389.0
6335050,1968-03-16,-17.0,389.0
6335050,1968-03-17,-5.0,389.0
6335050,1968-03-18,28.0,389.0
6335050,1968-03-19,40.0,389.0
6335050,1968-03-20,44.0,389.0
6335050,1968-03-21,57.0,389.0
6335050,1968-03-22,64.0,389.0
6335050,1968-03-23,75.0,389.0
6335050,1968-03-24,101.0,389.0
6335050,1968-03-25,109.0,389.0
6335050,1968-03-26,95.0,389.0
6335050,1968-03-27,68.0,389.0
6335050,1968-06-25,0.0,356.0
6335050,1968-06-26,-1.0,356.0
6335050,1968-06-27,-11.0,356.0
6335050,1968-06-28,-18.0,356.0
6335050,1968-06-29,-23.0,356.0
6335050,1968-06-30,-31.0,356.0
6335050,1968-07-01,-37.0,356.0
6335050,1968-07-02,-46.0,356.0
6335050,1968-07-03,-55.0,356.0
6335050,1968-07-04,-58.0,356.0
6335050,1968-07-05,-62.0,356.0
6335050,1968-07-06,-56.0,356.0
6335050,1968-07-07,-50.0,356.0
6335050,1968-07-08,-48.0,356.0
6335050,1968-07-09,-54.0,356.0
6335050,1968-07-10,-56.0,356.0
6335050,1968-07-11,-54.0,356.0
6335050,1968-10-09,0.0,532.0
6335050,1968-10-10,-22.0,532.0
6335050,1968-10-11,-30.0,532.0
6335050,1968-10-12,-34.0,532.0
6335050,1968-10-13,-49.0,532.0
6335050,1968-10-14,-67.0,532.0
6335050,1968-10-15,-77.0,532.0
6335050,1968-10-16,-70.0,532.0
6335050,1968-10-17,-28.0,532.0
6335050,1968-10-18,-16.0,532.0
6335050,1968-10-19,-43.0,532.0
6335050,1968-10-20,-76.0,532.0
6335050,1968-10-21,-99.0,532.0
6335050,1968-10-22,-125.0,532.0
6335050,1968-10-23,-142.0,532.0
6335050,1968-10-24,-154.0,532.0
6335050,1968-10-25,-163.0,532.0
6335050,1969-01-23,0.0,366.0
6335050,1969-01-24,-9.0,366.0
6335050,1969-01-25,-20.0,366.0
6335050,1969-01-26,-20.0,366.0
6335050,1969-01-27,-13.0,366.0
6335050,1969-01-28,-5.0,366.0
6335050,1969-01-29,2.0,366.0
6335050,1969-01-30,7.0,366.0
6335050,1969-01-31,32.0,366.0
6335050,1969-02-01,64.0,366.0
6335050,1969-02-02,70.0,366.0
6335050,1969-02-03,72.0,366.0
6335050,1969-02-04,89.0,366.0
6335050,1969-02-05,89.0,366.0
6335050,1969-02-06,62.0,366.0
6335050,1969-02-07,27.0,366.0
6335050,1969-02-08,-1.0,366.0
6335050,1969-05-09,0.0,505.0
6335050,1969-05-10,33.0,505.0
6335050,1969-05-11,39.0,505.0
6335050,1969-05-12,22.0,505.0
6335050,1969-05-13,2.0,505.0
6335050,1969-05-14,-21.0,505.0
6335050,1969-05-15,-39.0,505.0
6335050,1969-05-16,-58.0,505.0
6335050,1969-05-17,-71.0,505.0
6335050,1969-05-18,-78.0,505.0
6335050,1969-05-19,-69.0,505.0
6335050,1969-05-20,-75.0,505.0
6335050,1969-05-21,-84.0,505.0
6335050,1969-05-22,-88.0,505.0
6335050,1969-05-23,-98.0,505.0
6335050,1969-05-24,-109.0,505.0
6335050,1969-05-25,-122.0,505.0
6335050,1969-08-23,0.0,352.0
6335050,1969-08-24,-13.0,352.0
6335050,1969-08-25,10.0,352.0
6335050,1969-08-26,27.0,352.0
6335050,1969-08-27,25.0,352.0
6335050,1969-08-28,39.0,352.0
6335050,1969-08-29,71.0,352.0
6335050,1969-08-30,146.0,352.0
6335050,1969-08-31,192.0,352.0
6335050,1969-09-01,176.0,352.0
6335050,1969-09-02,135.0,352.0
6335050,1969-09-03,98.0,352.0
6335050,1969-09-04,67.0,352.0
6335050,1969-09-05,44.0,352.0
6335050,1969-09-06,25.0,352.0
6335050,1969-09-07,10.0,352.0
6335050,1969-09-08,-3.0,352.0
6335050,1969-12-07,0.0,258.0
6335050,1969-12-08,0.0,258.0
6335050,1969-12-09,-10.0,258.0
6335050,1969-12-10,-19.0,258.0
6335050,1969-12-11,-30.0,258.0
6335050,1969-12-12,-39.0,258.0
6335050,1969-12-13,-43.0,258.0
6335050,1969-12-14,-46.0,258.0
6335050,1969-12-15,-50.0,258.0
6335050,1969-12-16,-58.0,258.0
6335050,1969-12-17,-58.0,258.0
6335050,1969-12-18,-43.0,258.0
6335050,1969-12-19,-37.0,258.0
6335050,1969-12-20,-38.0,258.0
6335050,1969-12-21,-38.0,258.0
6335050,1969-12-22,-28.0,258.0
6335050,1969-12-23,-19.0,258.0
6335050,1970-03-23,0.0,618.0
6335050,1970-03-24,-16.0,618.0
6335050,1970-03-25,-22.0,618.0
6335050,1970-03-26,-4.0,618.0
6335050,1970-03-27,3.0,618.0
6335050,1970-03-28,-18.0,618.0
6335050,1970-03-29,-42.0,618.0
6335050,1970-03-30,-68.0,618.0
6335050,1970-03-31,-91.0,618.0
6335050,1970-04-01,-110.0,618.0
6335050,1970-04-02,-105.0,618.0
6335050,1970-04-03,-87.0,618.0
6335050,1970-04-04,-74.0,618.0
6335050,1970-04-05,-74.0,618.0
6335050,1970-04-06,-86.0,618.0
6335050,1970-04-07,-98.0,618.0
6335050,1970-04-08,-99.0,618.0
6335050,1970-07-07,0.0,475.0
6335050,1970-07-08,-19.0,475.0
6335050,1970-07-09,-22.0,475.0
6335050,1970-07-10,-23.0,475.0
6335050,1970-07-11,-31.0,475.0
6335050,1970-07-12,-45.0,475.0
6335050,1970-07-13,-58.0,475.0
6335050,1970-07-14,-70.0,475.0
6335050,1970-07-15,-75.0,475.0
6335050,1970-07-16,-81.0,475.0
6335050,1970-07-17,-88.0,475.0
6335050,1970-07-18,-89.0,475.0
6335050,1970-07-19,-87.0,475.0
6335050,1970-07-20,-79.0,475.0
6335050,1970-07-21,-67.0,475.0
6335050,1970-07-22,-60.0,475.0
6335050,1970-07-23,-61.0,475.0
6335050,1970-10-21,0.0,266.0
6335050,1970-10-22,0.0,266.0
6335050,1970-10-23,16.0,266.0
6335050,1970-10-24,27.0,266.0
6335050,1970-10-25,28.0,266.0
6335050,1970-10-26,25.0,266.0
6335050,1970-10-27,32.0,266.0
6335050,1970-10-28,38.0,266.0
6335050,1970-10-29,34.0,266.0
6335050,1970-10-30,30.0,266.0
6335050,1970-10-31,24.0,266.0
6335050,1970-11-01,20.0,266.0
6335050,1970-11-02,15.0,266.0
6335050,1970-11-03,14.0,266.0
6335050,1970-11-04,18.0,266.0
6335050,1970-11-05,10.0,266.0
6335050,1970-11-06,4.0,266.0
6335050,1971-02-04,0.0,324.0
6335050,1971-02-05,-14.0,324.0
6335050,1971-02-06,-28.0,324.0
6335050,1971-02-07,-36.0,324.0
6335050,1971-02-08,-44.0,324.0
6335050,1971-02-09,-54.0,324.0
6335050,1971-02-10,-58.0,324.0
6335050,1971-02-11,-68.0,324.0
6335050,1971-02-12,-76.0,324.0
6335050,1971-02-13,-78.0,324.0
6335050,1971-02-14,-82.0,324.0
6335050,1971-02-15,-92.0,324.0
6335050,1971-02-16,-92.0,324.0
6335050,1971-02-17,-96.0,324.0
6335050,1971-02-18,-88.0,324.0
6335050,1971-02-19,-86.0,324.0
6335050,1971-02-20,-76.0,324.0
6335050,1971-05-21,0.0,218.0
6335050,1971-05-22,0.0,218.0
6335050,1971-05-23,12.0,218.0
6335050,1971-05-24,30.0,218.0
6335050,1971-05-25,38.0,218.0
6335050,1971-05-26,48.0,218.0
6335050,1971-05-27,55.0,218.0
6335050,1971-05-28,66.0,218.0
6335050,1971-05-29,74.0,218.0
6335050,1971-05-30,68.0,218.0
6335050,1971-05-31,48.0,218.0
6335050,1971-06-01,34.0,218.0
6335050,1971-06-02,30.0,218.0
6335050,1971-06-03,19.0,218.0
6335050,1971-06-04,10.0,218.0
6335050,1971-06-05,8.0,218.0
6335050,1971-06-06,14.0,218.0
6335050,1971-09-04,0.0,229.0
6335050,1971-09-05,-3.0,229.0
6335050,1971-09-06,-12.0,229.0
6335050,1971-09-07,-17.0,229.0
6335050,1971-09-08,-23.0,229.0
6335050,1971-09-09,-27.0,229.0
6335050,1971-09-10,-33.0,229.0
6335050,1971-09-11,-39.0,229.0
6335050,1971-09-12,-42.0,229.0
6335050,1971-09-13,-46.0,229.0
6335050,1971-09-14,-49.0,229.0
6335050,1971-09-15,-48.0,229.0
6335050,1971-09-16,-46.0,229.0
6335050,1971-09-17,-45.0,229.0
6335050,1971-09-18,-49.0,229.0
6335050,1971-09-19,-56.0,229.0
6335050,1971-09-20,-61.0,229.0
6335050,1971-12-19,0.0,167.0
6335050,1971-12-20,-4.0,167.0
6335050,1971-12-21,-3.0,167.0
6335050,1971-12-22,10.0,167.0
6335050,1971-12-23,20.0,167.0
6335050,1971-12-24,34.0,167.0
6335050,1971-12-25,46.0,167.0
6335050,1971-12-26,48.0,167.0
6335050,1971-12-27,36.0,167.0
6335050,1971-12-28,26.0,167.0
6335050,1971-12-29,19.0,167.0
6335050,1971-12-30,8.0,167.0
6335050,1971-12-31,0.0,167.0
6335050,1972-01-01,-1.0,167.0
6335050,1972-01-02,-1.0,167.0
6335050,1972-01-03,-5.0,167.0
6335050,1972-01-04,-9.0,167.0
6335050,1972-04-03,0.0,199.0
6335050,1972-04-04,15.0,199.0
6335050,1972-04-05,50.0,199.0
6335050,1972-04-06,77.0,199.0
6335050,1972-04-07,97.0,199.0
6335050,1972-04-08,109.0,199.0
6335050,1972-04-09,121.0,199.0
6335050,1972-04-10,117.0,199.0
6335050,1972-04-11,102.0,199.0
6335050,1972-04-12,110.0,199.0
6335050,1972-04-13,113.0,199.0
6335050,1972-04-14,117.0,199.0
6335050,1972-04-15,111.0,199.0
6335050,1972-04-16,99.0,199.0
6335050,1972-04-17,91.0,199.0
6335050,1972-04-18,83.0,199.0
6335050,1972-04-19,81.0,199.0
6335050,1972-07-18,0.0,266.0
6335050,1972-07-19,-12.0,266.0
6335050,1972-07-20,-17.0,266.0
6335050,1972-07-21,-19.0,266.0
6335050,1972-07-22,-16.0,266.0
6335050,1972-07-23,-7.0,266.0
6335050,1972-07-24,4.0,266.0
6335050,1972-07-25,29.0,266.0
6335050,1972-07-26,44.0,266.0
6335050,1972-07-27,22.0,266.0
6335050,1972-07-28,14.0,266.0
6335050,1972-07-29,16.0,266.0
6335050,1972-07-30,9.0,266.0
6335050,1972-07-31,2.0,266.0
6335050,1972-08-01,4.0,266.0
6335050,1972-08-02,8.0,266.0
6335050,1972-08-03,6.0,266.0
6335050,1972-11-01,0.0,148.0
6335050,1972-11-02,8.0,148.0
6335050,1972-11-03,2.0,148.0
6335050,1972-11-04,-4.0,148.0
6335050,1972-11-05,-10.0,148.0
6335050,1972-11-06,-11.0,148.0
6335050,1972-11-07,-12.0,148.0
6335050,1972-11-08,-13.0,148.0
6335050,1972-11-09,-16.0,148.0
6335050,1972-11-10,-16.0,148.0
6335050,1972-11-11,-14.0,148.0
6335050,1972-11-12,-14.0,148.0
6335050,1972-11-13,-2.0,148.0
6335050,1972-11-14,20.0,148.0
6335050,1972-11-15,55.0,148.0
6335050,1972-11-16,90.0,148.0
6335050,1972-11-17,174.0,148.0
6335050,1973-02-15,0.0,356.0
6335050,1973-02-16,0.0,356.0
6335050,1973-02-17,-32.0,356.0
6335050,1973-02-18,-64.0,356.0
6335050,1973-02-19,-94.0,356.0
6335050,1973-02-20,-116.0,356.0
6335050,1973-02-21,-125.0,356.0
6335050,1973-02-22,-129.0,356.0
6335050,1973-02-23,-106.0,356.0
6335050,1973-02-24,-60.0,356.0
6335050,1973-02-25,-12.0,356.0
6335050,1973-02-26,-5.0,356.0
6335050,1973-02-27,-22.0,356.0
6335050,1973-02-28,-60.0,356.0
6335050,1973-03-01,-82.0,356.0
6335050,1973-03-02,-100.0,356.0
6335050,1973-03-03,-113.0,356.0
6335050,1973-06-01,0.0,304.0
6335050,1973-06-02,13.0,304.0
6335050,1973-06-03,8.0,304.0
6335050,1973-06-04,9.0,304.0
6335050,1973-06-05,9.0,304.0
6335050,1973-06-06,4.0,304.0
6335050,1973-06-07,-5.0,304.0
6335050,1973-06-08,-12.0,304.0
6335050,1973-06-09,-16.0,304.0
6335050,1973-06-10,-17.0,304.0
6335050,1973-06-11,-24.0,304.0
6335050,1973-06-12,-26.0,304.0
6335050,1973-06-13,-33.0,304.0
6335050,1973-06-14,-43.0,304.0
6335050,1973-06-15,-45.0,304.0
6335050,1973-06-16,-37.0,304.0
6335050,1973-06-17,-46.0,304.0
6335050,1973-09-15,0.0,175.0
6335050,1973-09-16,-4.0,175.0
6335050,1973-09-17,-7.0,175.0
6335050,1973-09-18,-8.0,175.0
6335050,1973-09-19,-11.0,175.0
6335050,1973-09-20,-13.0,175.0
6335050,1973-09-21,-8.0,175.0
6335050,1973-09-22,-12.0,175.0
6335050,1973-09-23,-5.0,175.0
6335050,1973-09-24,-11.0,175.0
6335050,1973-09-25,-15.0,175.0
6335050,1973-09-26,-11.0,175.0
6335050,1973-09-27,-14.0,175.0
6335050,1973-09-28,-17.0,175.0
6335050,1973-09-29,-15.0,175.0
6335050,1973-09-30,-17.0,175.0
6335050,1973-10-01,-17.0,175.0
6335050,1973-12-30,0.0,331.0
6335050,1973-12-31,-12.0,331.0
6335050,1974-01-01,-28.0,331.0
6335050,1974-01-02,-44.0,331.0
6335050,1974-01-03,-57.0,331.0
6335050,1974-01-04,-69.0,331.0
6335050,1974-01-05,-77.0,331.0
6335050,1974-01-06,-84.0,331.0
6335050,1974-01-07,-89.0,331.0
6335050,1974-01-08,-86.0,331.0
6335050,1974-01-09,-78.0,331.0
6335050,1974-01-10,-58.0,331.0
6335050,1974-01-11,-48.0,331.0
6335050,1974-01-12,-37.0,331.0
6335050,1974-01-13,-34.0,331.0
6335050,1974-01-14,-40.0,331.0
6335050,1974-01-15,-44.0,331.0
6335050,1974-04-15,0.0,226.0
6335050,1974-04-16,-8.0,226.0
6335050,1974-04-17,-12.0,226.0
6335050,1974-04-18,-15.0,226.0
6335050,1974-04-19,-20.0,226.0
6335050,1974-04-20,-18.0,226.0
6335050,1974-04-21,-20.0,226.0
6335050,1974-04-22,-26.0,226.0
6335050,1974-04-23,-30.0,226.0
6335050,1974-04-24,-32.0,226.0
6335050,1974-04-25,-34.0,226.0
6335050,1974-04-26,-36.0,226.0
6335050,1974-04-27,-35.0,226.0
6335050,1974-04-28,-30.0,226.0
6335050,1974-04-29,-30.0,226.0
6335050,1974-04-30,-28.0,226.0
6335050,1974-05-01,-27.0,226.0
6335050,1974-07-30,0.0,330.0
6335050,1974-07-31,-22.0,330.0
6335050,1974-08-01,-33.0,330.0
6335050,1974-08-02,-42.0,330.0
6335050,1974-08-03,-45.0,330.0
6335050,1974-08-04,-43.0,330.0
6335050,1974-08-05,-50.0,330.0
6335050,1974-08-06,-60.0,330.0
6335050,1974-08-07,-75.0,330.0
6335050,1974-08-08,-84.0,330.0
6335050,1974-08-09,-83.0,330.0
6335050,1974-08-10,-80.0,330.0
6335050,1974-08-11,-60.0,330.0
6335050,1974-08-12,-35.0,330.0
6335050,1974-08-13,-20.0,330.0
6335050,1974-08-14,-26.0,330.0
6335050,1974-08-15,-40.0,330.0
6335050,1974-11-13,0.0,336.0
6335050,1974-11-14,0.0,336.0
6335050,1974-11-15,3.0,336.0
6335050,1974-11-16,4.0,336.0
6335050,1974-11-17,5.0,336.0
6335050,1974-11-18,3.0,336.0
6335050,1974-11-19,4.0,336.0
6335050,1974-11-20,10.0,336.0
6335050,1974-11-21,12.0,336.0
6335050,1974-11-22,22.0,336.0
6335050,1974-11-23,39.0,336.0
6335050,1974-11-24,90.0,336.0
6335050,1974-11-25,99.0,336.0
6335050,1974-11-26,90.0,336.0
6335050,1974-11-27,90.0,336.0
6335050,1974-11-28,97.0,336.0
6335050,1974-11-29,130.0,336.0
6335050,1975-02-27,0.0,278.0
6335050,1975-02-28,-8.0,278.0
6335050,1975-03-01,-16.0,278.0
6335050,1975-03-02,-20.0,278.0
6335050,1975-03-03,-23.0,278.0
6335050,1975-03-04,-25.0,278.0
6335050,1975-03-05,-28.0,278.0
6335050,1975-03-06,-32.0,278.0
6335050,1975-03-07,-32.0,278.0
6335050,1975-03-08,-28.0,278.0
6335050,1975-03-09,-30.0,278.0
6335050,1975-03-10,-21.0,278.0
6335050,1975-03-11,-21.0,278.0
6335050,1975-03-12,-20.0,278.0
6335050,1975-03-13,-26.0,278.0
6335050,1975-03-14,-28.0,278.0
6335050,1975-03-15,-26.0,278.0
6335050,1975-06-13,0.0,286.0
6335050,1975-06-14,-6.0,286.0
6335050,1975-06-15,-10.0,286.0
6335050,1975-06-16,-11.0,286.0
6335050,1975-06-17,-9.0,286.0
6335050,1975-06-18,-1.0,286.0
6335050,1975-06-19,11.0,286.0
6335050,1975-06-20,26.0,286.0
6335050,1975-06-21,44.0,286.0
6335050,1975-06-22,61.0,286.0
6335050,1975-06-23,107.0,286.0
6335050,1975-06-24,115.0,286.0
6335050,1975-06-25,109.0,286.0
6335050,1975-06-26,137.0,286.0
6335050,1975-06-27,148.0,286.0
6335050,1975-06-28,132.0,286.0
6335050,1975-06-29,104.0,286.0
6335050,1975-09-27,0.0,281.0
6335050,1975-09-28,4.0,281.0
6335050,1975-09-29,-3.0,281.0
6335050,1975-09-30,-15.0,281.0
6335050,1975-10-01,-14.0,281.0
6335050,1975-10-02,-24.0,281.0
6335050,1975-10-03,-31.0,281.0
6335050,1975-10-04,-26.0,281.0
6335050,1975-10-05,-22.0,281.0
6335050,1975-10-06,-27.0,281.0
6335050,1975-10-07,-31.0,281.0
6335050,1975-10-08,-40.0,281.0
6335050,1975-10-09,-47.0,281.0
6335050,1975-10-10,-50.0,281.0
6335050,1975-10-11,-53.0,281.0
6335050,1975-10-12,-60.0,281.0
6335050,1975-10-13,-66.0,281.0
6335050,1976-01-11,0.0,267.0
6335050,1976-01-12,-2.0,267.0
6335050,1976-01-13,12.0,267.0
6335050,1976-01-14,39.0,267.0
6335050,1976-01-15,74.0,267.0
6335050,1976-01-16,90.0,267.0
6335050,1976-01-17,89.0,267.0
6335050,1976-01-18,80.0,267.0
6335050,1976-01-19,77.0,267.0
6335050,1976-01-20,77.0,267.0
6335050,1976-01-21,73.0,267.0
6335050,1976-01-22,79.0,267.0
6335050,1976-01-23,94.0,267.0
6335050,1976-01-24,131.0,267.0
6335050,1976-01-25,175.0,267.0
6335050,1976-01-26,201.0,267.0
6335050,1976-01-27,192.0,267.0
6335050,1976-04-26,0.0,157.0
6335050,1976-04-27,14.0,157.0
6335050,1976-04-28,31.0,157.0
6335050,1976-04-29,45.0,157.0
6335050,1976-04-30,47.0,157.0
6335050,1976-05-01,45.0,157.0
6335050,1976-05-02,41.0,157.0
6335050,1976-05-03,31.0,157.0
6335050,1976-05-04,26.0,157.0
6335050,1976-05-05,18.0,157.0
6335050,1976-05-06,13.0,157.0
6335050,1976-05-07,14.0,157.0
6335050,1976-05-08,10.0,157.0
6335050,1976-05-09,8.0,157.0
6335050,1976-05-10,1.0,157.0
6335050,1976-05-11,4.0,157.0
6335050,1976-05-12,4.0,157.0
6335050,1976-08-10,0.0,190.0
6335050,1976-08-11,-8.0,190.0
6335050,1976-08-12,-16.0,190.0
6335050,1976-08-13,-16.0,190.0
6335050,1976-08-14,-19.0,190.0
6335050,1976-08-15,-23.0,190.0
6335050,1976-08-16,-16.0,190.0
6335050,1976-08-17,-26.0,190.0
6335050,1976-08-18,-34.0,190.0
6335050,1976-08-19,-40.0,190.0
6335050,1976-08-20,-36.0,190.0
6335050,1976-08-21,-36.0,190.0
6335050,1976-08-22,-37.0,190.0
6335050,1976-08-23,-40.0,190.0
6335050,1976-08-24,-45.0,190.0
6335050,1976-08-25,-50.0,190.0
6335050,1976-08-26,-54.0,190.0
6335050,1976-11-24,0.0,144.0
6335050,1976-11-25,2.0,144.0
6335050,1976-11-26,6.0,144.0
6335050,1976-11-27,10.0,144.0
6335050,1976-11-28,20.0,144.0
6335050,1976-11-29,26.0,144.0
6335050,1976-11-30,31.0,144.0
6335050,1976-12-01,43.0,144.0
6335050,1976-12-02,98.0,144.0
6335050,1976-12-03,150.0,144.0
6335050,1976-12-04,175.0,144.0
6335050,1976-12-05,200.0,144.0
6335050,1976-12-06,195.0,144.0
6335050,1976-12-07,172.0,144.0
6335050,1976-12-08,156.0,144.0
6335050,1976-12-09,177.0,144.0
6335050,1976-12-10,213.0,144.0
6335050,1977-03-10,0.0,378.0
6335050,1977-03-11,-16.0,378.0
6335050,1977-03-12,-26.0,378.0
6335050,1977-03-13,-32.0,378.0
6335050,1977-03-14,-37.0,378.0
6335050,1977-03-15,-23.0,378.0
6335050,1977-03-16,2.0,378.0
6335050,1977-03-17,3.0,378.0
6335050,1977-03-18,-10.0,378.0
6335050,1977-03-19,-27.0,378.0
6335050,1977-03-20,-40.0,378.0
6335050,1977-03-21,-49.0,378.0
6335050,1977-03-22,-55.0,378.0
6335050,1977-03-23,-54.0,378.0
6335050,1977-03-24,-55.0,378.0
6335050,1977-03-25,-65.0,378.0
6335050,1977-03-26,-78.0,378.0
